"#ID","Name","HW1","HW2","HW3","HW4","HW5","HW6","HW7","Quiz1","Quiz2","Quiz3","Quiz4","E1","E2","E3"
"","Overall","100","100","100","100","100","100","100","100","100","100","100","100","100","200"
"15417503","Jones, Corey","65.000000","48.000000","83.000000","68.000000","45.000000","43.000000","50.000000","82.000000","73.000000","91.000000","92.000000","65.000000","73.000000","115.000000"
"13022696","Jennings, Gregory","45.000000","40.000000","58.000000","58.000000","42.000000","55.000000","59.000000","83.000000","89.000000","71.000000","56.000000","74.000000","58.000000","157.000000"
"17272764","Carlson, Berna","58.000000","75.000000","78.000000","71.000000","87.000000","68.000000","83.000000","87.000000","96.000000","70.000000","69.000000","83.000000","67.000000","140.000000"
"12966435","Mora, Gianna","62.000000","93.000000","44.000000","92.000000","45.000000","100.000000","59.000000","76.000000","75.000000","93.000000","66.000000","71.000000","63.000000","195.000000"
"11582441","Cook, Alessandra","44.000000","44.000000","41.000000","53.000000","60.000000","98.000000","95.000000","70.000000","100.000000","91.000000","100.000000","94.000000","58.000000","200.000000"
"10335999","Dunn, Renay","37.000000","44.000000","88.000000","89.000000","59.000000","73.000000","89.000000","79.000000","92.000000","92.000000","66.000000","69.000000","90.000000","180.000000"
"19306964","Peterson, Chris","90.000000","66.000000","59.000000","64.000000","87.000000","95.000000","97.000000","82.000000","99.000000","98.000000","74.000000","91.000000","78.000000","108.000000"
"19949311","Walls, Rosy","74.000000","76.000000","56.000000","43.000000","68.000000","49.000000","91.000000","82.000000","91.000000","70.000000","86.000000","65.000000","58.000000","126.000000"
"12777481","Weber, Rickie","85.000000","70.000000","42.000000","40.000000","51.000000","81.000000","72.000000","92.000000","69.000000","79.000000","97.000000","63.000000","56.000000","185.000000"
"13574491","Hutchinson, Kathleen","33.000000","40.000000","97.000000","45.000000","54.000000","44.000000","68.000000","69.000000","80.000000","89.000000","95.000000","72.000000","88.000000","161.000000"
"19762179","Stanton, Edith","91.000000","51.000000","42.000000","82.000000","39.000000","98.000000","96.000000","82.000000","75.000000","99.000000","93.000000","73.000000","91.000000","122.000000"
